en,ge,tr,fr,de,pt,nl,es,it,cn,no,se,dk,cs,pl,gr,jp,kr,rs,hr
now,ახლა,şimdi,maintenant,jetzt,agora,nu,Ahora,adesso,现在,nå,nu,nu,Nyní,teraz,τώρα,今,지금,sada,sada
rank,პოზიცია,sıra,rang,Rang,classificação,rang,Rango,rango,秩,rang,rang,rang,hodnost,ranga,τάξη,順位,계급,rang,rang
venezuela,ვენესუელა,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,委内瑞拉,venezuela,venezuela,venezuela,Venezuela,Wenezuela,Βενεζουέλα,ベネズエラ,베네수엘라,Venecuela,Venezuela
help with translation,თარგმნაში დახმარება,çeviriye yardım et,aide à la traduction,Hilfe bei der Übersetzung,ajuda com tradução,hulp bij het vertalen,Ayúdanos con la Traducción,assistenza di un traduttore,通过翻译的帮助,hjelp med oversettelse,hjälp med översättning,hjælp til oversættelse,pomoc s překladem,pomoc w tłumaczeniu,βοήθεια με τη μετάφραση,翻訳のヘルプ,번역에 대한 도움말,pomoć pri prevodu,pomoć s prevođenjem
from yesterday,სხვაობა წინა დღესთან,dünden,d'hier,von gestern,de ontem,van gisteren,Diferencia entre ayer y hoy,da ieri,从昨天,fra i går,från igår,fra i går,od včerejška,od wczoraj,από χθες,昨日から,어제,od juče,od jučer
yesterday,წინა დღის,fark,hier,gestern,ontem,gisteren,Ayer,ieri,昨天,i går,i går,i går,včera,wczoraj,εχθές,昨日,어제,juče,jučer
Pause,პაუზა,Duraklat,Pause,Pause,Pausa,Pauze,Pausa,Pausa,暂停,Pause,Paus,Pause,Pauza,Pauza,Παύση,休止,중지,Pauza,Pauza
play,დრო,oynat,démarrer,Zeit,Tempo,tijd,Simular,play,时间,spille,spela,Spil,hrát si,odtwarzaj,παίζω,演奏する,플레이,pusti,pusti
cases,ყველა შემთხვ.,toplam vaka,cas,Fälle,Casos,gevallen,Casos,casi,例,saker,fall,sager,případy,przypadki,περιπτώσεις,ケース,경우,slučajevi,slučajevi
deaths,გარდაიცვალა,ölüm,morts,Todesfälle,mortes,sterfgevallen,Muertos,morti,死亡,dødsfall,dödsfall,dødsfald,úmrtí,zgonów,θάνατοι,死亡,사망,smrtni slučajevi,smrti
recovered,გამოჯანმრთელდა,iyileşen,rétablis,Geheilt,recuperados,hersteld,Recuperados,recuperato,恢复,gjenvunnet,utvanns,inddrives,zpět,wyzdrowień,ανάκτηση,回復,회복 된,oporavljeni,oporavljeni
death rate,სიკვდილიანობა,ölüm oranı,taux de mortalité,Todesrate,índice de mortalidade,sterftecijfer,Tasa de Mortalidad,tasso di mortalità,死亡率,dødsrate,dödstal,døds rate,úmrtnost,śmiertelność,θνησιμότητα,死亡率,사망률,smrtnost,mortalitet
corona virus,კორონა ვირუსი,korona virüsü,Coronavirus,Coronavirus,vírus corona,coronavirus,Coronavirus,corona virus,新冠病毒,coronavirus,coronavirus,corona-virus,KORONAVIRUS,koronawirus,κορωνοϊός,コロナウイルス,코로나 바이러스,Korona virus,koronavirus
diff from,სხვაობა,dün ile,différence,Diff zu,diff de,diff van,Diferencia,diff da,从差异,diff fra,diff från,diff fra,diff od,Różnica względem,διαφορά από,からの差分,에서 DIFF,razlika od,razlika od
diff,სხვაობა,fark,diff,Diff,diferença,diff,Diferencia,diff,DIFF,diff,diff,diff,diff,diff,diff,差分,DIFF,razlika,razlika
top,top,üst,top,oben,topo,top,Top,superiore,最佳,topp,topp,top,horní,Top,μπλουζα,上,상단,vrh,vrh
World,მსოფლიო,Dünya,monde,Welt,mundo,wereld,Mundo,mondo,世界,verden,värld,verden,svět,świat,κόσμος,世界,세계,svet,svijet
Europe,ევროპა,Avrupa,L'Europe ,Europa,Europa,Europa,Europa,Europa,欧洲,Europa,Europa,Europa,Evropa,Europa,Ευρώπη,ヨーロッパ,유럽,Evropa,Europa
Asia,აზია,Asya,Asie,Asien,Ásia,Azië,Asia,Asia,亚洲,Asia,Asien,Asien,Asie,Azja,Ασία,アジア,아시아,Azija,Azija
Africa,აფრიკა,Afrika,Afrique,Afrika,África,Afrika,África,Africa,非洲,Afrika,afrika,Afrika,Afrika,Afryka,Αφρική,アフリカ,아프리카,Afrika,Afrika
North America,ჩრდ. ამერიკა,Kuzey Amerika,Amérique du Nord,Nordamerika,América do Norte,Noord Amerika,Norteamérica,Nord America,北美,Nord Amerika,Nordamerika,Nordamerika,Severní Amerika,Ameryka Północna,Βόρεια Αμερική,北米,북아메리카,Severna Amerika,Sjeverna Amerika
South America,სამხ. ამერიკა,Güney Amerika,Amérique du Sud,Südamerika,América do Sul,Zuid-Amerika,Suramérica,Sud America,南美洲,Sør Amerika,Sydamerika,Sydamerika,Jižní Amerika,Ameryka Południowa,νότια Αμερική,南アメリカ,남아메리카,Južna Amerika,Južna Amerika
Australia,ავსტრალია,Avustralya,Australie,Australien,Austrália,Australië,Australia,Australia,澳大利亚,Australia,Australien,Australien,Austrálie,Australia,Αυστραλία,オーストラリア,호주,Australija,Australija
new deaths,ახალი მსხვერპლი,yeni ölüm,nouveaux décès,neue Todesfälle,novas mortes,nieuwe sterfgevallen,Nuevos Fallecimientos,nuovi decessi,新的死亡,nye dødsfall,nya dödsfall,nye dødsfald,nové úmrtí,nowe zgony,νέα θανάτους,新しい死亡,새로운 사망,Novih smrti,novih smrti
new fatalities,ახალი მსხვერპლი,yeni ölüm,nouveaux décès,neue Todesfälle,novas mortes,nieuwe dodelijke slachtoffers,Nuevos Incidentes Fatales,nuovi decessi,新死亡,nye dødsfall,nya dödsfall,nye dødsfald,nové osudovosti,nowe ofiary śmiertelne,νέα θανάτων,新しい死亡,새로운 사망자,Novih smrti,Novi smrtni slučajevi
total fatalities,გარდაცვლილთა რაოდ.,toplam ölüm,nombre total de décès,Todesfälle insgesamt,fatalidades totais,totaal doden,Total de Muertes,incidenti mortali totali,总死亡人数,totale dødsfall,totala dödsfall,samlede dødsfald,celkový počet obětí,wszystkich ofiar śmiertelnych,συνολικά θανάτους,総死亡者,총 사망자 수,Ukupno smrti,Ukupan broj žrtava
total recovered,გამოჯანმრთელდა,toplam iyileşen,total rétabli,geheilt,total recuperado,totaal hersteld,Total Recuperados,totale recuperato,总回复,totalt gjenvunnet,totala utvunna,samlede genvundet,celková zotavil,wszystkich wyzdrowień,συνολική ανάκτηση,合計が回収しました,총 복구,Ukupno oporavaka,Ukupna oporavljenih
death rates (%),სიკვდილიანობა (%),ölüm oranı (%),taux de mortalité (%),Todesrate (%),as taxas de mortalidade (%),sterftecijfers (%),Mortalidad (%),i tassi di mortalità (%),死亡率（％）,dødelighet (%),dödstal (%),dødeligheden (%),úmrtnost (%),śmiertelność (%),τα ποσοστά θανάτου (%),死亡率（％）,사망률 (%),smrtnost (%),stopa smrtnosti (%)
fatality rate (%),სიკვდილიანობა (%),ölüm oranı (%),taux de mortalité (%),Sterblichkeitsrate (%),índice de fatalidade (%),sterftecijfer (%),Fatalidad (%),tasso di mortalità (%),死亡率（％）,dødelighet (%),dödligheten (%),dødeligheden (%),úmrtnost (%),współczynnik śmiertelności (%),ποσοστό θνησιμότητας (%),死亡率（％）,치사율 (%),smrtnost (%),stopa smrtnosti (%)
active cases,აქტიური შემთხვ.,aktif vaka,cas actifs,aktive Fälle,casos ativos,actieve zaken,Casos Activos,casi attivi,活跃的情况下，,aktive saker,aktiva fall,aktive sager,aktivními případy,aktywnych przypadki,εκκρεμών υποθέσεων,アクティブの場合,활성화 된 경우,aktivnih slučajeva,aktivni slučajevi
existing cases,აქტიური შემთხვ.,aktif vaka,cas existants,Altfälle,casos existentes,bestaande gevallen,Casos Existentes,casi esistenti,现有案例,eksisterende tilfeller,existerande fall,eksisterende sager,stávající případy,istniejące przypadki,υπάρχουσες υποθέσεις,既存の例,기존의 경우,postojećih slučajeva,postojeći slučajevi
new cases,ახალი შემთხვ.,yeni vaka,nouveaux cas,Neuerkrankungen,novos casos,nieuwe gevallen,Nuevos Casos,nuovi casi,新病例,nye tilfeller,nya fall,nye tilfælde,nových případů,nowych przypadków,νέες περιπτώσεις,新しいケース,새로운 사례,novih slučajeva,novih slučajeva
